h,law,mass,mean_interval,score_mass,I_cycle,Gdc
0.01,A_two_point,0.9999999999880103,2.7182818280238137,-1.7225852379031776e-10,0.047952326846280056,0.01764067520307986
0.01,B_three_point,0.9999999999871328,2.7182818279919014,-1.8549036770812172e-10,0.05225949779490199,0.019225194844688768
0.005,A_two_point,0.9999999999912258,2.718281828140758,-1.3901686002164553e-10,0.047962457329639045,0.01764440199963676
0.005,B_three_point,0.9999999999905774,2.7182818281171865,-1.4961719176412834e-10,0.052221475067891716,0.019211207065124414
0.0025,A_two_point,0.9999999999925978,2.7182818281905807,-1.2408049838519373e-10,0.047974260364579434,0.017648744093534757
0.0025,B_three_point,0.9999999999920484,2.7182818281706003,-1.335089861676463e-10,0.052209347098014114,0.019206745434343298
0.00125,A_two_point,0.9999999999932287,2.7182818282135073,-1.1701234705702385e-10,0.04798196804793098,0.01765157959177885
0.00125,B_three_point,0.9999999999927208,2.718281828195089,-1.2588881946297903e-10,0.0522051280632672,0.01920519333819832
0.000625,A_two_point,0.999999999993531,2.7182818282244683,-1.1357571638406132e-10,0.04798629012804005,0.017653169596194073
0.000625,B_three_point,0.9999999999930494,2.7182818282069467,-1.221844371962792e-10,0.05220349681457011,0.019204593235339223
0.0003125,A_two_point,0.9999999999936771,2.7182818282298022,-1.1188139465172133e-10,0.04798857041869108,0.017654008468244484
0.0003125,B_three_point,0.9999999999932041,2.7182818282126195,-1.2035827239367802e-10,0.05220280299346497,0.01920433799281879
