omega_rad_per_bin,omega_over_pi,G_p_half
0,0,0
0.098174770424681,0.03125,0.0126580471504612
0.196349540849362,0.0625,0.0484563057014703
0.294524311274043,0.09375,0.101780845010466
0.392699081698724,0.125,0.165650469914206
0.490873852123405,0.15625,0.233652041895832
0.589048622548086,0.1875,0.300972548746787
0.687223392972767,0.21875,0.364560117810939
0.785398163397448,0.25,0.42280919642747
0.883572933822129,0.28125,0.475119013757162
0.98174770424681,0.3125,0.521505854088287
1.07992247467149,0.34375,0.562322217507269
1.17809724509617,0.375,0.598075217369632
1.27627201552085,0.40625,0.629318581149252
1.37444678594553,0.4375,0.656593364511422
1.47262155637022,0.46875,0.680398656326316
1.5707963267949,0.5,0.701179739054262
1.66897109721958,0.53125,0.719325857123704
1.76714586764426,0.5625,0.735172901519015
1.86532063806894,0.59375,0.749008310128043
1.96349540849362,0.625,0.761076689811729
2.0616701789183,0.65625,0.771585375435572
2.15984494934298,0.6875,0.780709547088033
2.25801971976766,0.71875,0.788596752280085
2.35619449019234,0.75,0.795370800265623
2.45436926061703,0.78125,0.801135055731998
2.55254403104171,0.8125,0.805975185464666
2.65071880146639,0.84375,0.809961419562356
2.74889357189107,0.875,0.81315038716215
2.84706834231575,0.90625,0.815586580362061
2.94524311274043,0.9375,0.817303491793521
3.04341788316511,0.96875,0.818324462496
3.14159265358979,1,0.818663268041757
