shape_k,cv,mass,mean_interval,I_cycle,G0
0.5,1.414213562373095,0.9999735218073292,2.7174215851541685,0.29476897459822604,0.10843944564987448
1,1.0,0.9999998145739823,2.718280589823555,0.1879839195958575,0.0691554192901414
2,0.7071067811865475,0.9999999991793291,2.718281798467378,0.09607351957129315,0.03534347269126095
4,0.5,0.9999999999902145,2.718281828103958,0.03838439430564325,0.014120829526864331
8,0.35355339059327373,0.9999999999993874,2.7182818284369006,0.01288561946673458,0.004740354488570176
16,0.25,0.9999999999998501,2.7182818284536374,0.004009800329951326,0.0014751231045915588
32,0.17677669529663687,0.9999999999999216,2.718281828456218,0.0012351469071635764,0.00045438515397197186
64,0.125,0.9999999999999417,2.718281828456945,0.00038749539089825703,0.0001425515878601604
