h,mass,mean_interval,score_mass,I_cycle,G0
0.01,0.9999998146071232,2.718274927972515,-1.8016638771694432e-06,0.18798031015259267,0.0691540914501702
0.005,0.9999998145854276,2.718274927160611,-1.8018515900455022e-06,0.18798377333628594,0.06915536548425195
0.0025,0.9999998145800034,2.7182749269576196,-1.801898521462588e-06,0.18798463918555033,0.06915568401239548
0.00125,0.9999998145786473,2.7182749269068696,-1.8019102545328326e-06,0.18798485565120227,0.06915576364565855
