omega_tau,G_step_0p005,interval_density_mass
0.5,0.0975627367438187,0.997505095798039
1,0.2654916842158,0.997505095798039
3.14159265358979,0.52783252803062,0.997505095798039
3.325,0.528707061370694,0.997505095798039
5,0.466296711582104,0.997505095798039
10,0.405786119487238,0.997505095798039
20,0.345944551805012,0.997505095798039
30,0.382369343219611,0.997505095798039
50,0.368288370120153,0.997505095798039
